id,customer_name,sentiment,csat_score,call_timestamp,reason,channel,response_time,call_duration_in_minutes,call_center,agent_id
DKK-57076809-w-055481-fU,Analise Gairdner,Neutral,7,10/29/2023,Billing Question,Call-Center,Within SLA,17,Los Angeles/CA,422
QGK-72219678-w-102139-KY,Crichton Kidsley,Very Positive,,10/5/2023,Service Outage,Chatbot,Within SLA,23,Baltimore/MD,140
GYJ-30025932-A-023015-LD,Averill Brundrett,Negative,,10/4/2023,Billing Question,Call-Center,Above SLA,45,Los Angeles/CA,424
ZJI-96807559-i-620008-m7,Noreen Lafflina,Very Negative,1,10/17/2023,Billing Question,Chatbot,Within SLA,12,Los Angeles/CA,429
DDU-69451719-O-176482-Fm,Toma Van der Beken,Very Positive,,10/17/2023,Payments,Call-Center,Within SLA,23,Los Angeles/CA,428
JVI-79728660-U-224285-4a,Kaylyn Emlen,Neutral,5,10/28/2023,Billing Question,Call-Center,Within SLA,25,Baltimore/MD,148
AZI-95054097-e-185542-PT,Phillipe Bowring,Neutral,8,10/16/2023,Billing Question,Chatbot,Within SLA,31,Baltimore/MD,147
TWX-27007918-I-608789-Xw,Krysta de Tocqueville,Positive,,10/21/2023,Billing Question,Chatbot,Below SLA,37,Los Angeles/CA,412
XNG-44599118-P-344473-ZU,Oran Lifsey,Very Negative,,10/3/2023,Billing Question,Email,Below SLA,37,Baltimore/MD,122
RLC-64108207-Z-285141-VS,Port Inggall,Neutral,,10/7/2023,Billing Question,Chatbot,Within SLA,12,Baltimore/MD,146
RJF-00263922-O-647027-TB,Ella Cristoforo,Negative,,10/9/2023,Billing Question,Chatbot,Within SLA,35,Los Angeles/CA,426
ZQN-32874873-e-786499-kJ,Aubrey Surcombe,Negative,,10/11/2023,Billing Question,Web,Within SLA,18,Los Angeles/CA,409
JDP-35147568-w-630120-3l,Nicolle Fareweather,Very Positive,,10/2/2023,Billing Question,Call-Center,Within SLA,30,Baltimore/MD,140
DPT-56483482-P-371409-CQ,Melesa Ricardot,Positive,7,10/10/2023,Billing Question,Chatbot,Within SLA,20,Denver/CO,324
ZOV-95861398-a-333622-9r,Odell Cathesyed,Very Negative,,10/6/2023,Payments,Call-Center,Below SLA,22,Baltimore/MD,117
BEJ-69711449-V-758715-cp,Dani Stanfield,Negative,4,10/18/2023,Billing Question,Chatbot,Within SLA,28,Denver/CO,322
DEC-83767217-S-314070-eR,Margarette Jehaes,Negative,,10/11/2023,Billing Question,Email,Above SLA,36,Baltimore/MD,138
XNY-04106353-Y-318117-I9,Noni Greatrakes,Neutral,,10/30/2023,Billing Question,Call-Center,Above SLA,37,Baltimore/MD,152
GKH-06532516-2-756137-9w,Gerik Archell,Negative,,10/26/2023,Billing Question,Web,Within SLA,41,Baltimore/MD,110
DJU-19977844-M-356042-cQ,Tammie Bettinson,Very Negative,,10/11/2023,Payments,Call-Center,Within SLA,9,Chicago/IL,202
ADD-82219259-r-882390-EG,Errol Follos,Neutral,,10/12/2023,Billing Question,Chatbot,Below SLA,35,Baltimore/MD,116
YOB-40492230-M-009287-T8,Nanni Doy,Negative,5,10/8/2023,Billing Question,Email,Within SLA,27,Baltimore/MD,154
GZD-50459522-O-178569-D2,Sophie Kleinerman,Very Negative,2,10/3/2023,Billing Question,Chatbot,Within SLA,20,Chicago/IL,207
FQX-24118867-H-358169-3N,Timotheus Menlove,Negative,,10/28/2023,Billing Question,Call-Center,Within SLA,43,Baltimore/MD,149
SVH-32880745-c-681066-4a,Allayne Lednor,Negative,,10/6/2023,Service Outage,Chatbot,Below SLA,41,Baltimore/MD,142
ISK-94965442-x-233388-Vz,Bethina Fazzioli,Positive,,10/22/2023,Billing Question,Chatbot,Below SLA,45,Denver/CO,315
WUJ-90727821-m-177169-j0,Stanwood Esley,Very Negative,,10/1/2023,Billing Question,Call-Center,Within SLA,19,Baltimore/MD,111
PKG-51691289-6-484895-mg,Anissa Kinrade,Very Positive,,10/5/2023,Payments,Call-Center,Within SLA,40,Chicago/IL,203
YSU-89393344-7-508964-gG,Bradly Dinkin,Very Positive,,10/30/2023,Billing Question,Chatbot,Below SLA,6,Chicago/IL,216
OKT-23554135-U-885557-tw,Callida Le Franc,Negative,6,10/27/2023,Billing Question,Web,Within SLA,26,Los Angeles/CA,404
PWN-23158453-4-345907-mh,Jdavie Fasler,Neutral,,10/30/2023,Service Outage,Chatbot,Below SLA,10,Baltimore/MD,146
SOU-95968322-O-261597-9F,Saundra Greenshields,Very Negative,,10/1/2023,Billing Question,Chatbot,Below SLA,35,Los Angeles/CA,429
IFI-31277173-T-796016-Ej,Joseph Trenear,Negative,,10/3/2023,Service Outage,Email,Within SLA,38,Baltimore/MD,118
TAP-16251358-j-875784-7e,Kaylil Randell,Very Negative,2,10/7/2023,Billing Question,Call-Center,Above SLA,17,Chicago/IL,225
IZI-93062579-M-779259-Aj,Quinton Marchelli,Positive,,10/13/2023,Payments,Call-Center,Within SLA,39,Los Angeles/CA,415
YUZ-85735662-N-048492-c4,Hakim Saywood,Negative,,10/19/2023,Billing Question,Chatbot,Within SLA,30,Baltimore/MD,152
